"Punkt_ID" "X[m]" "Y[m]" "Z[m]" "PCode" "ErrCode" "P_X[m]" "dh[m]" "DOF" "D_XX[cm^2]" "D_YY[cm^2]" "D_ZZ[cm^2]" "D_XY[cm^2]" "D_XZ[cm^2]" "D_YZ[cm^2]"
291 -980.536 2085.349 1986.786 0 0 0.022 0.982 1 126.4 701 5240.3 -69 218.3 -1746.8
292 -965.286 2085.048 1991.616 0 0 0.032 1.177 1 126.4 701 5205.8 -57.5 183.9 -1735.3
293 -951.132 2084.191 1993.807 0 0 0.009 1.218 1 126.4 689.5 5194.4 -57.5 160.9 -1723.8
294 -968.935 2083.738 1991.167 0 0 0.055 1.159 1 126.4 689.5 5205.8 -69 195.4 -1735.3
295 -935.176 2083.336 1994.659 255 0 0.003 1.059 1 114.9 689.5 5182.9 -46 137.9 -1723.8
296 -931.576 2083.477 1994.788 255 0 0.017 1.188 1 114.9 689.5 5182.9 -46 126.4 -1723.8
297 -947.16 2083.03 1994.698 255 0 0.087 1.047 1 126.4 689.5 5182.9 -46 149.4 -1723.8
298 -977.58 2082.322 1987.951 0 0 0.043 1.043 1 126.4 689.5 5228.8 -69 206.9 -1735.3
299 -923.834 2082.087 1993.902 255 0 0.023 1.101 1 114.9 689.5 5182.9 -34.5 114.9 -1723.8
300 -975.014 2081.071 1988.906 0 0 0.046 1.018 1 126.4 689.5 5228.8 -69 206.9 -1735.3
301 -927.759 2081.539 1994.118 255 0 0.017 0.948 1 114.9 689.5 5182.9 -34.5 114.9 -1723.8
302 -941.284 2081.326 1995.223 255 0 0.032 1.143 1 126.4 689.5 5182.9 -46 137.9 -1723.8
303 -918.71 2080.015 1993.758 255 0 0.045 1.157 1 114.9 689.5 5194.4 -34.5 103.4 -1723.8
304 -968.806 2078.935 1991.369 0 0 0.03 1.311 1 126.4 689.5 5205.8 -69 195.4 -1723.8
305 -976.861 2078.112 1988.348 0 0 0.025 1.106 1 126.4 689.5 5228.8 -69 206.9 -1723.8
306 -921.487 2077.442 1993.358 255 0 0.063 0.987 1 114.9 689.5 5194.4 -34.5 114.9 -1723.8
307 -979.933 2077.106 1987.286 0 0 0.017 1.149 1 126.4 689.5 5240.3 -69 206.9 -1723.8
308 -959.819 2076.886 1992.842 255 0 0.044 1.113 1 126.4 689.5 5194.4 -57.5 172.4 -1723.8
309 -963.641 2076.53 1992.291 0 0 0.091 1.1 1 126.4 689.5 5205.8 -57.5 183.9 -1723.8
310 -939.199 2075.197 1994.99 255 0 0.09 1.13 1 126.4 678 5182.9 -46 137.9 -1712.3
311 -976.446 2075.126 1988.405 0 0 0.033 1.078 1 126.4 689.5 5228.8 -69 206.9 -1723.8
312 -942.353 2074.859 1994.576 255 0 0.006 0.927 1 126.4 678 5182.9 -46 149.4 -1712.3
313 -954.465 2074.526 1995.547 255 0 0.053 1.025 1 126.4 678 5182.9 -57.5 160.9 -1712.3
